instrument,sex,hand,id,bin_edge,value
egitarre,m,left,52,1,9.0
egitarre,m,left,52,2,12.3
egitarre,m,left,52,3,13.2
egitarre,m,left,52,4,14.4
egitarre,m,left,52,5,18.0
egitarre,m,left,52,6,19.8
egitarre,m,left,52,7,36.8
egitarre,m,left,52,8,59.2
egitarre,m,left,52,9,67.0
egitarre,m,left,53,1,34.8
egitarre,m,left,53,2,38.7
egitarre,m,left,53,3,46.4
egitarre,m,left,53,4,53.2
egitarre,m,left,53,5,64.0
egitarre,m,left,53,6,69.4
egitarre,m,left,53,7,71.6
egitarre,m,left,53,8,72.0
egitarre,m,left,53,9,77.4
egitarre,m,left,54,1,58.4
egitarre,m,left,54,2,60.8
egitarre,m,left,54,3,65.8
egitarre,m,left,54,4,69.5
egitarre,m,left,54,5,74.0
egitarre,m,left,54,6,74.0
egitarre,m,left,54,7,80.4
egitarre,m,left,54,8,83.4
egitarre,m,left,54,9,85.2
egitarre,m,left,55,1,72.4
egitarre,m,left,55,2,73.3
egitarre,m,left,55,3,75.4
egitarre,m,left,55,4,81.1
egitarre,m,left,55,5,82.0
egitarre,m,left,55,6,84.7
